event_id,date,site,event_datetime_utc,event_datetime_local,treatment,event_interaction,n_dolphins,n_dolphins_in_area,n_dolphins_interacting,dolphin_photoid,n_fishers_nets,n_fishers_line,fishers_number_tags,buzz_occurred,n_buzzes,fisher_success,n_nets_with_fish,n_fish_total,has_drone,event_number_in_drone,hydrophone_track_on_off,camera_photo,photoid_number,observation
20240521_121530_tesoura,2024-05-21,tesoura,2024-05-21T15:15:30Z,2024-05-21T15:15:30Z,cooperative,3,1,4,1,NA,1,14,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,3899,NA
20240521_122209_tesoura,2024-05-21,tesoura,2024-05-21T15:22:09Z,2024-05-21T15:22:09Z,cooperative,3,1,4,1,NA,1,12,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,3904,NA
20240521_123114_tesoura,2024-05-21,tesoura,2024-05-21T15:31:14Z,2024-05-21T15:31:14Z,cooperative,4,1,3,1,NA,3,16,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,3919,NA
20240521_123242_tesoura,2024-05-21,tesoura,2024-05-21T15:32:42Z,2024-05-21T15:32:42Z,cooperative,4,1,3,1,NA,1,14,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,3926,NA
20240521_123309_tesoura,2024-05-21,tesoura,2024-05-21T15:33:09Z,2024-05-21T15:33:09Z,cooperative,4,1,3,1,NA,1,14,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,3927,NA
20240521_123326_tesoura,2024-05-21,tesoura,2024-05-21T15:33:26Z,2024-05-21T15:33:26Z,cooperative,4,1,3,1,NA,1,14,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,3928,NA
20240521_124124_tesoura,2024-05-21,tesoura,2024-05-21T15:41:24Z,2024-05-21T15:41:24Z,cooperative,NA,3,3,3,NA,4,14,6;2;4;23,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_124326_tesoura,2024-05-21,tesoura,2024-05-21T15:43:26Z,2024-05-21T15:43:26Z,cooperative,NA,3,3,3,NA,1,15,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_124830_quarto,2024-05-21,quarto,2024-05-21T15:48:30Z,2024-05-21T15:48:30Z,cooperative,NA,1,2,1,NA,2,4,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_125050_tesoura,2024-05-21,tesoura,2024-05-21T15:50:50Z,2024-05-21T15:50:50Z,cooperative,NA,1,3,1,NA,1,17,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_125242_tesoura,2024-05-21,tesoura,2024-05-21T15:52:42Z,2024-05-21T15:52:42Z,cooperative,5,1,3,1,NA,2,16,89,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,3944-46,NA
20240521_125928_tesoura,2024-05-21,tesoura,2024-05-21T15:59:28Z,2024-05-21T15:59:28Z,cooperative,5,1,4,1,NA,2,15,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,3958,NA
20240521_130341_tesoura,2024-05-21,tesoura,2024-05-21T16:03:41Z,2024-05-21T16:03:41Z,cooperative,5,1,4,1,NA,4,12,89;4;6;23,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_130545_quarto,2024-05-21,quarto,2024-05-21T16:05:45Z,2024-05-21T16:05:45Z,cooperative,NA,1,4,1,NA,2,6,14,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_131915_tesoura,2024-05-21,tesoura,2024-05-21T16:19:15Z,2024-05-21T16:19:15Z,cooperative,6,1,4,1,NA,4,14,4;6;2,FALSE,0,FALSE,0,0,FALSE,NA,NA,7D_LAG,3985-87,NA
20240521_133414_tesoura,2024-05-21,tesoura,2024-05-21T16:34:14Z,2024-05-21T16:34:14Z,cooperative,7,2,3,2,NA,1,14,NA,FALSE,0,TRUE,1,1,FALSE,NA,NA,7D_TRA,324,NA
20240521_133553_tesoura,2024-05-21,tesoura,2024-05-21T16:35:53Z,2024-05-21T16:35:53Z,cooperative,7,1,3,1,NA,2,13,NA,FALSE,0,TRUE,1,7,FALSE,NA,NA,NA,NA,NA
20240521_133637_tesoura,2024-05-21,tesoura,2024-05-21T16:36:37Z,2024-05-21T16:36:37Z,cooperative,7,1,3,1,NA,2,13,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_133657_tesoura,2024-05-21,tesoura,2024-05-21T16:36:57Z,2024-05-21T16:36:57Z,cooperative,7,1,3,1,NA,2,13,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_133711_tesoura,2024-05-21,tesoura,2024-05-21T16:37:11Z,2024-05-21T16:37:11Z,cooperative,7,1,3,1,NA,1,13,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
