event_id,date,site,event_datetime_utc,event_datetime_local,treatment,event_interaction,n_dolphins,n_dolphins_in_area,n_dolphins_interacting,dolphin_photoid,n_fishers_nets,n_fishers_line,fishers_number_tags,buzz_occurred,n_buzzes,fisher_success,n_nets_with_fish,n_fish_total,has_drone,event_number_in_drone,hydrophone_track_on_off,camera_photo,photoid_number,observation,csv_filepath,csv_filename,date_str,video_filepath,video_filename,video_start_time_utc
20240521_112445_tesoura,2024-05-21,tesoura,2024-05-21T14:24:45Z,2024-05-21T14:24:45Z,cooperative,2,1,4,1,NA,3,14,NA,FALSE,0,FALSE,0,0,TRUE,off 11:26:33,NA,NA,NA,NA,./data/raw/laguna/20240521_DJI_0007_output_laguna.csv,20240521_DJI_0007_output_laguna.csv,20240521,\\cetacea.arcs.oregonstate.edu/LABIRINTO/Data_processing/JoaoVallePereira/2024_LAGUNA/all_drone_2024/videos/20240521_DJI_0007.MP4,20240521_DJI_0007.MP4,2024-05-21T11:19:57Z
20240521_144207_tesoura,2024-05-21,tesoura,2024-05-21T17:42:07Z,2024-05-21T17:42:07Z,cooperative,8,1,4,1,NA,2,20,NA,TRUE,1,FALSE,0,0,TRUE,on,on,7D_LAG,4047,NA,./data/raw/laguna/20240521_DJI_0007_output_laguna.csv,20240521_DJI_0007_output_laguna.csv,20240521,\\cetacea.arcs.oregonstate.edu/LABIRINTO/Data_processing/JoaoVallePereira/2024_LAGUNA/all_drone_2024/videos/20240521_DJI_0007.MP4,20240521_DJI_0007.MP4,2024-05-21T11:19:57Z
