FrameIndex,FrameID,ObjectID,CenterX_px,CenterY_px,Width_px,Height_px,EstAltitude_m,GSD_cmpx,CenterX_m,CenterY_m,Width_m,Height_m,IndividualCount,Distances_px,MaxDistance_px,Distances_m,MaxDistance_m,Angle_deg,AngleXVal,AngleYVal,FilteredAngle_deg,FilteredAngleXVal,FilteredAngleYVal,NeighborFrameObjsPlusMinus25Deg_count,NeighborsConsideredForAngleFiltering,NeighborWindowStart,NeighborWindowEnd,ObjectGroupLength,MovingAvgAngleXVal,MovingAvgAngleYVal,MovingAvgAngle_deg,Angles_deg
93,20240521_DJI_0007_000094,1,2156.5347290039062,956.4786744117737,106.79306030273438,100.1059627532959,80.0,2.696075809379276,58.14181114953724,25.787390162687398,2.8792218649178443,2.6989326455378393,1,{},0.0,{},0.0,-140.57521,-179.02783,-147.18484,-140.57521,-179.02783,-147.18484,3,27,0,27,27,-164.97323699999998,-148.783137,-137.95389186239908,{}
94,20240521_DJI_0007_000095,1,2156.7639541625977,956.9620192050934,110.74607849121094,103.82961988449097,80.0,2.696075809379276,58.147991233589735,25.800421504735986,2.9857982320377237,2.7993252646762157,1,{},0.0,{},0.0,-141.48874,-145.63063,-115.88662,-141.48874,-145.63063,-115.88662,3,27,0,27,27,-156.20658054545456,-143.11604181818183,-137.5041708472358,{}
95,20240521_DJI_0007_000096,1,2156.605796813965,956.1757349967957,108.73924255371094,101.92411422729492,80.0,2.696075809379276,58.14372719157249,25.7792226864031,2.931692413792856,2.747951387606199,1,{},0.0,{},0.0,-142.40628,-182.13759,-140.2331,-142.40628,-182.13759,-140.2331,3,27,0,27,27,-151.29091341666665,-140.48889166666666,-137.12018695520646,{}
96,20240521_DJI_0007_000097,1,2154.5078659057617,957.0356941223145,105.88188171386719,99.15633201599121,80.0,2.696075809379276,58.08716538385893,25.80240783635676,2.8546557994031527,2.6733298809509374,1,{},0.0,{},0.0,-137.37476,-164.64073,-151.5289,-137.37476,-164.64073,-151.5289,3,27,0,27,27,-147.57837623076924,-137.36157923076922,-137.05351571797135,{}
102,20240521_DJI_0007_000103,1,2150.518569946289,959.0249812602997,104.29550170898438,97.22172975540161,80.0,2.696075809379276,57.979610940531046,25.856040525663076,2.8118857918466773,2.6211715373954765,1,{},0.0,{},0.0,-137.61462,-175.02907,-159.74162,-137.61462,-175.02907,-159.74162,3,27,0,27,27,-145.48074292857143,-134.8752675,-137.16638616129165,{}
106,20240521_DJI_0007_000107,1,2147.3756790161133,961.1160099506378,103.64250183105469,95.70651769638062,80.0,2.696075809379276,57.8948762184474,25.91241624435046,2.7942804201025386,2.580320271611414,1,{},0.0,{},0.0,-135.28943,-160.07597,-158.46689,-135.28943,-160.07597,-158.46689,3,27,0,27,27,-140.52879406666668,-130.33927766666667,-137.1543370761004,{}
107,20240521_DJI_0007_000108,1,2146.9825744628906,961.5198862552643,105.274658203125,96.69387102127075,80.0,2.696075809379276,57.884277821682396,25.923305055699313,2.838284593221169,2.606940065756879,1,{},0.0,{},0.0,-136.13715,-188.91829,-181.56439,-136.13715,-188.91829,-181.56439,3,27,0,27,27,-134.4271663125,-123.772220625,-137.36304681680892,{}
113,20240521_DJI_0007_000114,1,2146.145439147949,964.1228413581848,108.76808166503906,99.47214603424072,80.0,2.696075809379276,57.86170801896449,25.993482698558154,2.932469938097014,2.681844466299591,1,{},0.0,{},0.0,-139.28668,-175.63023,-151.13687,-139.28668,-175.63023,-151.13687,3,27,0,27,27,-132.00694652941175,-120.90129270588237,-137.5143450520091,{}
114,20240521_DJI_0007_000115,1,2143.685989379883,965.2639174461365,110.80764770507812,100.95826148986816,80.0,2.696075809379276,57.795399388723816,26.02424697493203,2.9874581847188217,2.721911265598209,1,{},0.0,{},0.0,-135.05525,-136.5584,-136.29524,-135.05525,-136.5584,-136.29524,3,27,0,27,27,-128.4462206111111,-118.08055666666668,-137.40768640238002,{}
115,20240521_DJI_0007_000116,1,2142.373580932617,965.7188737392426,111.29470825195312,101.25251054763794,80.0,2.696075809379276,57.76001586205683,26.03651294149371,3.000589706300149,2.7298444432640663,1,{},0.0,{},0.0,-134.2618,-142.08363,-145.7929,-134.2618,-142.08363,-145.7929,3,27,0,27,27,-125.7037937368421,-116.25615157894737,-137.23605265069742,{}
117,20240521_DJI_0007_000118,1,2139.205741882324,968.3235991001129,108.81660461425781,98.82075548171997,80.0,2.696075809379276,57.674608519741824,26.106738311848904,2.933778153592898,2.664282483188497,1,{},0.0,{},0.0,-128.40996,-68.540016,-86.44509,-128.40996,-68.540016,-86.44509,4,27,0,27,27,-123.54531684999999,-113.2350705,-137.49328367771517,{}
118,20240521_DJI_0007_000119,1,2138.595199584961,968.488941192627,108.43231201171875,98.60748767852783,80.0,2.696075809379276,57.65814783655658,26.111196060007895,2.9234173336986085,2.658532621537439,1,{},0.0,{},0.0,-131.06273,-97.218575,-111.59024,-131.06273,-97.218575,-111.59024,4,27,0,27,27,-118.08471085000001,-108.91598450000001,-137.31296175406013,{}
119,20240521_DJI_0007_000120,1,2138.3406829833984,967.6354193687439,114.10537719726562,103.87075424194336,80.0,2.696075809379276,57.651285876031,26.088184464586416,3.076367471816455,2.800434278136833,1,{},0.0,{},0.0,-135.90207,-103.02793,-99.83383,-135.90207,-103.02793,-99.83383,3,27,0,27,27,-116.23888385000001,-106.509064,-137.50113846025133,{}
120,20240521_DJI_0007_000121,1,2137.5899505615234,969.0341484546661,112.69454956054688,102.71171808242798,80.0,2.696075809379276,57.631045560811664,26.125895261110713,3.0383304891908436,2.76918578461818,1,{},0.0,{},0.0,-139.05705,-118.21151,-102.553215,-139.05705,-118.21151,-102.553215,3,27,0,27,27,-106.11907655,-96.20166429999999,-137.80629365518772,{}
121,20240521_DJI_0007_000122,1,2136.5895080566406,970.7203996181488,113.46267700195312,103.45252275466919,80.0,2.696075809379276,57.60407287245077,26.17135787081475,3.0590397873238016,2.789158440181227,1,{},0.0,{},0.0,-136.81166,-71.20151,-66.83542,-136.81166,-71.20151,-66.83542,3,27,0,27,27,-101.60159085000001,-92.96150659999999,-137.54269869537947,{}
122,20240521_DJI_0007_000123,1,2136.2156295776367,971.3770687580109,113.18046569824219,103.04645776748657,80.0,2.696075809379276,57.59399282522187,26.189062168642227,3.0514311566331167,2.778210620291438,1,{},0.0,{},0.0,-149.50525,-42.90275,-25.266365,-149.50525,-42.90275,-25.266365,3,27,0,27,27,-95.88823585,-86.89554985,-137.81659470679372,{}
123,20240521_DJI_0007_000124,1,2136.4685440063477,971.1135578155518,113.74580383300781,103.38293552398682,80.0,2.696075809379276,57.60081158995277,26.181957713867522,3.066673101325729,2.787282315688383,1,{},0.0,{},0.0,-141.2132,-93.28343,-74.966446,-141.2132,-93.28343,-74.966446,3,27,0,27,27,-88.94481745,-78.251055525,-138.65962369888763,{}
124,20240521_DJI_0007_000125,1,2135.763473510742,972.4125730991364,114.5654296875,104.02814626693726,80.0,2.696075809379276,57.58180235488168,26.216980150688386,3.0887708357161108,2.8046776864485854,1,{},0.0,{},0.0,45.918934,67.91388,70.128044,-134.081066,-67.91388,-70.128044,22,27,0,27,27,-85.98659145,-73.428659525,-139.50417191809316,{}
125,20240521_DJI_0007_000126,1,2133.5828018188477,972.7296423912048,115.48118591308594,103.94375324249268,80.0,2.696075809379276,57.523009792914536,26.225528579170813,3.1134603177870184,2.8024023865317322,1,{},0.0,{},0.0,47.536377,76.34011,83.41686,-132.46362299999998,-76.34011,-83.41686,22,27,0,27,27,-81.26850521052631,-69.33875371052632,-139.52899952987084,{}
126,20240521_DJI_0007_000127,1,2135.0659561157227,971.5644586086273,114.27635192871094,102.04442739486694,80.0,2.696075809379276,57.562996757128346,26.19411434107393,3.080977080191103,2.7511951218126067,1,{},0.0,{},0.0,-145.9216,-82.534256,-55.83453,-145.9216,-82.534256,-55.83453,3,27,0,27,27,-78.19684438888889,-65.61894891666667,-139.998277729777,{}
127,20240521_DJI_0007_000128,1,2134.13028717041,971.9526600837708,112.57301330566406,99.50188636779785,80.0,2.696075809379276,57.537770413037904,26.204580547136924,3.035053779623323,2.6826462882382534,1,{},0.0,{},0.0,-138.94711,-69.81571,-60.80312,-138.94711,-69.81571,-60.80312,3,27,0,27,27,-74.4387981764706,-60.90283414705882,-140.71134794124944,{}
128,20240521_DJI_0007_000129,1,2133.4584045410156,971.9886124134064,114.4573974609375,100.54080247879028,80.0,2.696075809379276,57.519655947999375,26.20554984919914,3.0858582049894254,2.7106562541864645,1,{},0.0,{},0.0,-148.06976,-108.71409,-67.74821,-148.06976,-108.71409,-67.74821,3,27,0,27,27,-74.8074720625,-59.30644315625,-141.59305215113005,{}
129,20240521_DJI_0007_000130,1,2133.9503860473633,971.1469995975494,115.82450866699219,100.79932451248169,80.0,2.696075809379276,57.532920142378636,26.182859329662186,3.1227165595031794,2.7176262041987336,1,{},0.0,{},0.0,72.9155,20.258556,65.914894,72.9155,20.258556,65.914894,2,27,0,27,27,-73.31339853333334,-55.8208567,-142.71433731182734,{}
130,20240521_DJI_0007_000131,1,2133.115882873535,972.3542511463165,119.63722229003906,103.82318258285522,80.0,2.696075809379276,57.510421304180554,26.215407746626852,3.225510209175054,2.7991517101440375,1,{},0.0,{},0.0,49.415977,74.291016,86.725746,-130.584023,-74.291016,-86.725746,22,27,0,27,27,-71.190932,-52.67707289285714,-143.50075185212705,{}
