FrameIndex,FrameID,ObjectID,CenterX_px,CenterY_px,Width_px,Height_px,EstAltitude_m,GSD_cmpx,CenterX_m,CenterY_m,Width_m,Height_m,IndividualCount,Distances_px,MaxDistance_px,Distances_m,MaxDistance_m,Angle_deg,AngleXVal,AngleYVal,FilteredAngle_deg,FilteredAngleXVal,FilteredAngleYVal,NeighborFrameObjsPlusMinus25Deg_count,NeighborsConsideredForAngleFiltering,NeighborWindowStart,NeighborWindowEnd,ObjectGroupLength,MovingAvgAngleXVal,MovingAvgAngleYVal,MovingAvgAngle_deg,Angles_deg
0,E16_SB02_14fev25_(1)_corte_106_000001,1,1330.1454162597656,1197.4262952804565,281.99684143066406,188.70537757873535,25.0,0.8425236904310238,11.206790249170881,10.088600213188391,2.375890195320553,1.5898875112181587,7,"{2: 1501.7744787001793, 3: 451.33200294854237, 4: 716.2547235319485, 5: 706.0358474583015, 6: 350.58938119097337, 7: 800.2127842871869}",1851.4177204274265,"{2: 12.65280575989602, 3: 3.802579047338316, 4: 6.0346157295879, 5: 5.948519277771636, 6: 2.953798592669479, 7: 6.741982281477256}",15.598632903439091,-13.715378,163.19852,-39.829918,-13.715378,163.19852,-39.829918,12,25,0,25,25,19.057914450000002,4.3145583,12.756270416542037,"{2: 43.91428312555125, 3: 179.3289072565272, 4: 54.56156136454922, 5: -126.81761687339996, 6: -99.89187780628154, 7: -140.6596903716}"
0,E16_SB02_14fev25_(1)_corte_106_000001,2,2332.422752380371,79.04946863651276,118.59626770019531,158.0989372730255,25.0,0.8425236904310238,19.651214249807964,0.666010500422462,0.9992016513411418,1.332021000844924,7,"{1: 1501.7744787001793, 3: 1136.4301419284748, 4: 785.5768893715003, 5: 838.5640202593462, 6: 1286.9116146121717, 7: 1851.4177204274265}",1851.4177204274265,"{1: 12.65280575989602, 3: 9.574693170946308, 4: 6.618671399506006, 5: 7.065100530115802, 6: 10.842535228015942, 7: 15.598632903439091}",15.598632903439091,-83.758606,12.620016,-115.39261,-83.758606,12.620016,-115.39261,1,2,0,2,2,23.676688,36.003975000000004,56.67055354209329,"{1: -43.91428312555125, 3: 135.41462413097594, 4: 10.64727823899797, 5: -170.7318999989512, 6: -143.80616093183278, 7: 175.42602650284877}"
0,E16_SB02_14fev25_(1)_corte_106_000001,3,1418.7932968139648,754.8857545852661,321.5455627441406,202.46987342834473,25.0,0.8425236904310238,11.953669643905007,6.360091318069866,2.709097541649137,1.7058566496195129,7,"{1: 451.33200294854237, 2: 1136.4301419284748, 4: 403.6011300664703, 5: 503.8921687586434, 6: 506.6977127709091, 7: 789.8373084026093}",1851.4177204274265,"{1: 3.802579047338316, 2: 9.574693170946308, 4: 3.4004351356573426, 5: 4.245410896018243, 6: 4.269048268967051, 7: 6.654566439154733}",15.598632903439091,-162.717,-176.7583,-54.996593,-162.717,-176.7583,-54.996593,65,120,0,120,280,-97.67130335,-20.9124859,-167.91482232693076,"{1: -179.3289072565272, 2: -135.41462413097594, 4: -124.76734589197798, 5: 53.85347587007284, 6: 80.77921493719126, 7: 40.01140237187282}"
0,E16_SB02_14fev25_(1)_corte_106_000001,4,1813.0231475830078,668.4178590774536,205.97991943359375,291.33695125579834,25.0,0.8425236904310238,15.275149531385066,5.631578813799402,1.7354296187587637,2.454582833309585,7,"{1: 716.2547235319485, 2: 785.5768893715003, 3: 403.6011300664703, 5: 176.55577695859324, 6: 536.8540442596044, 7: 1190.517699535178}",1851.4177204274265,"{1: 6.0346157295879, 2: 6.618671399506006, 3: 3.4004351356573426, 5: 1.4875242477007056, 6: 4.523122505924221, 7: 10.030393657358312}",15.598632903439091,75.73732,25.878881,101.80388,75.73732,25.878881,101.80388,36,98,0,98,98,21.470804100000002,51.372512900000004,67.31783178109126,"{1: -54.56156136454922, 2: -10.64727823899797, 3: 124.76734589197798, 5: 178.6208217620508, 6: -154.45343917083076, 7: 164.7787482638508}"
0,E16_SB02_14fev25_(1)_corte_106_000001,5,1919.765682220459,809.0520429611206,181.62952423095703,194.76004600524902,25.0,0.8425236904310238,16.174480673472132,6.816455129863625,1.5302717704629698,1.640899527088584,7,"{1: 706.0358474583015, 2: 838.5640202593462, 3: 503.8921687586434, 4: 176.55577695859324, 6: 448.6790624570098, 7: 1288.9850378474073}",1851.4177204274265,"{1: 5.948519277771636, 2: 7.065100530115802, 3: 4.245410896018243, 4: 1.4875242477007056, 6: 3.7802273952041174, 7: 10.860004309975706}",15.598632903439091,35.42772,36.982216,26.308832,35.42772,36.982216,26.308832,1,3,0,3,3,-9.869539666666668,-22.103626333333334,-114.06134645685792,"{1: 126.81761687339996, 2: 170.7318999989512, 3: -53.85347587007284, 4: -178.6208217620508, 6: 26.925739067118414, 7: -13.842073498200023}"
0,E16_SB02_14fev25_(1)_corte_106_000001,6,1680.62593460083,1188.6901366710663,251.63646697998047,362.3471474647522,25.0,0.8425236904310238,14.159671646539799,10.014996007270648,2.120096848069976,3.0528605589915743,7,"{1: 350.58938119097337, 2: 1286.9116146121717, 3: 506.6977127709091, 4: 536.8540442596044, 5: 448.6790624570098, 7: 1116.5509939978897}",1851.4177204274265,"{1: 2.953798592669479, 2: 10.842535228015942, 3: 4.269048268967051, 4: 4.523122505924221, 5: 3.7802273952041174, 7: 9.4072066401753}",15.598632903439091,-87.135605,6.982214,-139.54723,-87.135605,6.982214,-139.54723,0,1,0,1,1,6.982214,-139.54723,-87.1356073897395,"{1: 99.89187780628154, 2: 143.80616093183278, 3: -80.77921493719126, 4: 154.45343917083076, 5: -26.925739067118414, 7: -40.76781256531844}"
0,E16_SB02_14fev25_(1)_corte_106_000001,7,630.7807445526123,808.5438501834869,300.33891677856445,309.29476976394653,25.0,0.8425236904310238,5.314477207532958,6.812173485319002,2.530426525443323,2.6058817085253407,7,"{1: 800.2127842871869, 2: 1851.4177204274265, 3: 789.8373084026093, 4: 1190.517699535178, 5: 1288.9850378474073, 6: 1116.5509939978897}",1851.4177204274265,"{1: 6.741982281477256, 2: 15.598632903439091, 3: 6.654566439154733, 4: 10.030393657358312, 5: 10.860004309975706, 6: 9.4072066401753}",15.598632903439091,-127.60762,-106.083565,-137.71442,-127.60762,-106.083565,-137.71442,0,4,0,4,4,-111.14920875,-142.759865,-127.90341995505794,"{1: 140.6596903716, 2: -175.42602650284877, 3: -40.01140237187282, 4: -164.7787482638508, 5: 13.842073498200023, 6: 40.76781256531844}"
1,E16_SB02_14fev25_(1)_corte_106_000002,1,1333.1110954284668,1177.4220263957977,296.2155532836914,198.39242219924927,25.0,0.8425236904310238,11.231776798749365,9.92005950873762,2.4956862111564324,1.6715031570486127,5,"{2: 1490.8446089277556, 3: 447.8551014934531, 4: 709.8184641381326, 5: 697.8509647720231}",1490.8446089277556,"{2: 12.56071901773009, 3: 3.773285328886249, 4: 5.980388719417409, 5: 5.8795597021057535}",12.56071901773009,-16.202658,156.2999,-45.41718,-16.202658,156.2999,-45.41718,13,25,0,25,25,12.889405863636364,5.947451909090909,24.769626458677436,"{2: 31.90092708341585, 3: 164.80083722858248, 4: 36.31478487838834, 5: -138.83097291553537}"
1,E16_SB02_14fev25_(1)_corte_106_000002,2,2332.8679275512695,71.48173660039902,107.50877380371094,142.96347320079803,25.0,0.8425236904310238,19.654964956086697,0.6022505651898657,0.9057868885881671,1.2045011303797315,5,"{1: 1490.8446089277556, 3: 1130.812393319831, 4: 781.0357516032615, 5: 835.3360954657927}",1490.8446089277556,"{1: 12.56071901773009, 3: 9.527362308049623, 4: 6.5804112379934825, 5: 7.037904499020816}",12.56071901773009,79.49979,34.73336,187.40056,79.49979,34.73336,187.40056,1,2,0,2,2,23.676688,36.003975000000004,56.67055354209329,"{1: -31.90092708341585, 3: 132.89991014516664, 4: 4.413857794972486, 5: -170.7318999989512}"
1,E16_SB02_14fev25_(1)_corte_106_000002,3,1419.3220138549805,737.9429376125336,324.2113494873047,204.07501459121704,25.0,0.8425236904310238,11.958124210230908,6.217344071248226,2.7315574264966638,1.719380344181572,5,"{1: 447.8551014934531, 2: 1130.812393319831, 4: 400.9461863090085, 5: 501.8306181294323}",1490.8446089277556,"{1: 3.773285328886249, 2: 9.527362308049623, 4: 3.378066605533106, 5: 4.228041843576913}",12.56071901773009,-162.33507,-184.91568,-58.889416,-162.33507,-184.91568,-58.889416,65,120,0,120,280,-71.12638759090909,-11.99241627272727,-170.42953631274008,"{1: -164.80083722858248, 2: -132.89991014516664, 4: -128.48605235019414, 5: 56.368189855882164}"
